step,time,rain_volume,eta_volume,max_eta,min_eta
372,37.20,0.000000,-nan(ind),inf,-inf
373,37.30,0.000000,-nan(ind),inf,-inf
374,37.40,0.000000,-nan(ind),inf,-inf
375,37.50,0.000000,-nan(ind),inf,-inf
376,37.60,0.000000,-nan(ind),inf,-inf
377,37.70,0.000000,-nan(ind),inf,-inf
378,37.80,0.000000,-nan(ind),inf,-inf
379,37.90,0.000000,-nan(ind),inf,-inf
380,38.00,0.000000,-nan(ind),inf,-inf
381,38.10,0.000000,-nan(ind),inf,-inf
382,38.20,0.000000,-nan(ind),inf,-inf
383,38.30,0.000000,-nan(ind),inf,-inf
384,38.40,0.000000,-nan(ind),inf,-inf
385,38.50,0.000000,-nan(ind),inf,-inf
386,38.60,0.000000,-nan(ind),inf,-inf
387,38.70,0.000000,-nan(ind),inf,-inf
388,38.80,0.000000,-nan(ind),inf,-inf
389,38.90,0.000000,-nan(ind),inf,-inf
390,39.00,0.000000,-nan(ind),inf,-inf
391,39.10,0.000000,-nan(ind),inf,-inf
392,39.20,0.000000,-nan(ind),inf,-inf
393,39.30,0.000000,-nan(ind),inf,-inf
394,39.40,0.000000,-nan(ind),inf,-inf
395,39.50,0.000000,-nan(ind),inf,-inf
396,39.60,0.000000,-nan(ind),inf,-inf
397,39.70,0.000000,-nan(ind),inf,-inf
398,39.80,0.000000,-nan(ind),inf,-inf
399,39.90,0.000000,-nan(ind),inf,-inf
400,40.00,0.000000,-nan(ind),inf,-inf
401,40.10,0.000000,-nan(ind),inf,-inf
402,40.20,0.000000,-nan(ind),inf,-inf
403,40.30,0.000000,-nan(ind),inf,-inf
404,40.40,0.000000,-nan(ind),inf,-inf
405,40.50,0.000000,-nan(ind),inf,-inf
406,40.60,0.000000,-nan(ind),inf,-inf
407,40.70,0.000000,-nan(ind),inf,-inf
408,40.80,0.000000,-nan(ind),inf,-inf
409,40.90,0.000000,-nan(ind),inf,-inf
410,41.00,0.000000,-nan(ind),inf,-inf
411,41.10,0.000000,-nan(ind),inf,-inf
